location,party_a,party_b,year
Guatemala,Government of Guatemala,URNG,1983
Guatemala,Government of Guatemala,URNG,1984
Guatemala,Government of Guatemala,URNG,1985
Guatemala,Government of Guatemala,URNG,1986
Guatemala,Government of Guatemala,URNG,1987
Guatemala,Government of Guatemala,URNG,1988
Guatemala,Government of Guatemala,URNG,1989
Guatemala,Government of Guatemala,URNG,1990
Guatemala,Government of Guatemala,URNG,1991
Guatemala,Government of Guatemala,URNG,1992
Guatemala,Government of Guatemala,URNG,1993
Guatemala,Government of Guatemala,URNG,1994
Guatemala,Government of Guatemala,URNG,1995
Israel,Government of Israel,Palestinian insurgents,1949
Israel,Government of Israel,Palestinian insurgents,1950
Israel,Government of Israel,Palestinian insurgents,1951
Israel,Government of Israel,Palestinian insurgents,1952
Israel,Government of Israel,Palestinian insurgents,1953
Israel,Government of Israel,Palestinian insurgents,1954
Israel,Government of Israel,Palestinian insurgents,1955
Israel,Government of Israel,Palestinian insurgents,1956
Israel,Government of Israel,Palestinian insurgents,1957
Israel,Government of Israel,Palestinian insurgents,1958
Israel,Government of Israel,Palestinian insurgents,1959
Israel,Government of Israel,Palestinian insurgents,1960
Israel,Government of Israel,Palestinian insurgents,1961
Israel,Government of Israel,Palestinian insurgents,1962
Israel,Government of Israel,Palestinian insurgents,1963
Israel,Government of Israel,Palestinian insurgents,1964
Israel,Government of Israel,"Non PLO groups, PLO",1965
Israel,Government of Israel,"Non PLO groups, PLO",1966
Israel,Government of Israel,"Non PLO groups, PLO",1967
Israel,Government of Israel,"Non PLO groups, PLO",1968
Israel,Government of Israel,"Non PLO groups, PLO",1969
Israel,Government of Israel,"Non PLO groups, PLO",1970
Israel,Government of Israel,"Non PLO groups, PLO",1971
Israel,Government of Israel,"Non PLO groups, PLO",1972
Israel,Government of Israel,"Non PLO groups, PLO",1973
Israel,Government of Israel,"PLO, Rejectionist Front",1974
Israel,Government of Israel,"PLO, Rejectionist Front",1975
Israel,Government of Israel,"PLO, Rejectionist Front",1976
Israel,Government of Israel,"PLO, Rejectionist Front",1977
Israel,Government of Israel,"PLO, Rejectionist Front",1978
Israel,Government of Israel,"PLO, Rejectionist Front",1979
Israel,Government of Israel,"PLO, Rejectionist Front",1980
Israel,Government of Israel,"PLO, Rejectionist Front",1981
Israel,Government of Israel,"PLO, Rejectionist Front",1982
Israel,Government of Israel,"PLO, Rejectionist Front",1983
Israel,Government of Israel,"PLO, Rejectionist Front",1984
Israel,Government of Israel,"PLO, Rejectionist Front",1985
Israel,Government of Israel,"PLO, Rejectionist Front",1986
Israel,Government of Israel,"PLO, Rejectionist Front",1987
Israel,Government of Israel,"PLO, Rejectionist Front",1988
Israel,Government of Israel,"PFLP, PFLP-GC",1989
Israel,Government of Israel,Fatah,1990
Israel,Government of Israel,Fatah,1991
Israel,Government of Israel,Fatah,1992
Israel,Government of Israel,Hamas,1993
Israel,Government of Israel,Hamas,1994
Israel,Government of Israel,PIJ,1995
Israel,Government of Israel,PNA,1996
Israel,Government of Israel,"Fatah, PNA",2000
Israel,Government of Israel,"Fatah, Hamas, PFLP, PIJ, PNA",2001
Israel,Government of Israel,"AMB, Fatah, Hamas, PIJ, PNA",2002
Israel,Government of Israel,"AMB, Hamas, PIJ",2003
Israel,Government of Israel,"AMB, Hamas, PIJ",2004
Israel,Government of Israel,"Fatah, Hamas, PIJ",2005
Israel,Government of Israel,"Fatah, Hamas, PIJ, PRC",2006
Israel,Government of Israel,"Fatah, Hamas, PIJ",2007
Israel,Government of Israel,"Hamas, PIJ",2008
Israel,Government of Israel,"Hamas, PIJ",2009
Israel,Government of Israel,PIJ,2010
Israel,Government of Israel,"Hamas, PIJ",2011
Israel,Government of Israel,"Hamas, PIJ",2012
Israel,Government of Israel,"Hamas, PIJ",2014
Israel,Government of Israel,Hamas,2018
Israel,Government of Israel,PIJ,2019
Israel,Government of Israel,"Hamas, PIJ",2021
Israel,Government of Israel,"Fatah, PIJ",2022
Israel,Government of Israel,"Hamas, PIJ",2023
"North Korea, South Korea",Government of North Korea,Government of South Korea,1949
"North Korea, South Korea",Government of North Korea,Government of South Korea,1950
"North Korea, South Korea",Government of North Korea,Government of South Korea,1951
"North Korea, South Korea",Government of North Korea,Government of South Korea,1952
"North Korea, South Korea",Government of North Korea,Government of South Korea,1953
China,Government of China,Tibet,1950
China,Government of China,Tibet,1956
China,Government of China,Tibet,1959
Indonesia,Government of Indonesia,Republic of South Moluccas,1950
United States of America,Government of United States of America,Puerto Rican Nationalist Party,1950
"Egypt, United Kingdom",Government of Egypt,Government of United Kingdom,1951
"Egypt, United Kingdom",Government of Egypt,Government of United Kingdom,1952
Thailand,Government of Thailand,Military faction (navy),1951
Thailand,Government of Thailand,CPT,1974
Thailand,Government of Thailand,CPT,1975
Thailand,Government of Thailand,CPT,1976
Thailand,Government of Thailand,CPT,1977
Thailand,Government of Thailand,CPT,1978
Thailand,Government of Thailand,CPT,1979
Thailand,Government of Thailand,CPT,1980
Thailand,Government of Thailand,CPT,1981
Thailand,Government of Thailand,CPT,1982
Kenya,Government of United Kingdom,Mau Mau,1952
Kenya,Government of United Kingdom,Mau Mau,1953
Kenya,Government of United Kingdom,Mau Mau,1954
Kenya,Government of United Kingdom,Mau Mau,1955
Kenya,Government of United Kingdom,Mau Mau,1956
Cuba,Government of Cuba,M-26-7,1953
Cuba,Government of Cuba,M-26-7,1956
Cuba,Government of Cuba,M-26-7,1957
Cuba,Government of Cuba,M-26-7,1958
Cuba,Government of Cuba,Cuban Revolutionary Council,1961
Indonesia,Government of Indonesia,Darul Islam,1953
Indonesia,Government of Indonesia,"Darul Islam, Permesta Movement, PRRI",1958
Indonesia,Government of Indonesia,"Darul Islam, Permesta Movement, PRRI",1959
Indonesia,Government of Indonesia,"Darul Islam, Permesta Movement, PRRI",1960
Indonesia,Government of Indonesia,"Darul Islam, Permesta Movement, PRRI",1961
Morocco,Government of France,Istiqlal,1953
Morocco,Government of France,Istiqlal,1954
Morocco,Government of France,Istiqlal,1955
Morocco,Government of France,Istiqlal,1956
Tunisia,Government of France,National Liberation Army,1953
Tunisia,Government of France,National Liberation Army,1954
Tunisia,Government of France,National Liberation Army,1955
Tunisia,Government of France,National Liberation Army,1956
Algeria,Government of France,FLN,1954
Algeria,Government of France,"FLN , MNA",1955
Algeria,Government of France,"FLN , MNA",1956
Algeria,Government of France,"FLN , MNA",1957
Algeria,Government of France,FLN,1958
Algeria,Government of France,FLN,1959
Algeria,Government of France,FLN,1960
Algeria,Government of France,FLN,1961
Algeria,Government of France,FLN,1962
Argentina,Government of Argentina,"Military faction (forces of Eduardo A. Lonardi Doucet), Military faction (forces of Samuel Toranzo Calderón)",1955
Argentina,Government of Argentina,Military faction (colorados),1963
Argentina,Government of Argentina,ERP,1974
Argentina,Government of Argentina,"ERP, Montoneros",1975
Argentina,Government of Argentina,"ERP, Montoneros",1976
Argentina,Government of Argentina,"ERP, Montoneros",1977
Cyprus,Government of United Kingdom,EOKA,1955
Cyprus,Government of United Kingdom,EOKA,1956
Cyprus,Government of United Kingdom,EOKA,1957
Cyprus,Government of United Kingdom,EOKA,1958
Cyprus,Government of United Kingdom,EOKA,1959
South Vietnam,Government of South Vietnam,FNL,1955
South Vietnam,Government of South Vietnam,FNL,1956
South Vietnam,Government of South Vietnam,FNL,1957
South Vietnam,Government of South Vietnam,FNL,1958
South Vietnam,Government of South Vietnam,FNL,1959
South Vietnam,Government of South Vietnam,FNL,1960
South Vietnam,Government of South Vietnam,FNL,1961
South Vietnam,Government of South Vietnam,FNL,1962
South Vietnam,Government of South Vietnam,FNL,1963
South Vietnam,Government of South Vietnam,FNL,1964
"Hungary, Russia (Soviet Union)",Government of Hungary,Government of Russia (Soviet Union),1956
India,Government of India,NNC,1956
India,Government of India,NNC,1957
India,Government of India,NNC,1958
India,Government of India,NNC,1959
India,Government of India,NNC,1961
India,Government of India,NNC,1962
India,Government of India,NNC,1963
India,Government of India,NNC,1964
India,Government of India,NNC,1965
India,Government of India,NNC,1966
India,Government of India,NNC,1967
India,Government of India,NNC,1968
India,Government of India,NSCN-IM,1992
India,Government of India,NSCN-IM,1993
India,Government of India,NSCN-IM,1994
India,Government of India,NSCN-IM,1995
India,Government of India,NSCN-IM,1996
India,Government of India,NSCN-IM,1997
India,Government of India,NSCN-IM,2000
"Egypt, France, Israel, United Kingdom",Government of Egypt,"Government of France, Government of Israel, Government of United Kingdom",1956
Myanmar (Burma),Government of Myanmar (Burma),KNPP,1957
Myanmar (Burma),Government of Myanmar (Burma),KNPP,1987
Myanmar (Burma),Government of Myanmar (Burma),KNPP,1992
Myanmar (Burma),Government of Myanmar (Burma),KNPP,1996
Myanmar (Burma),Government of Myanmar (Burma),KNPP,2005
Myanmar (Burma),Government of Myanmar (Burma),KNPP,2021
Myanmar (Burma),Government of Myanmar (Burma),KNPP,2022
Myanmar (Burma),Government of Myanmar (Burma),KNPP,2023
Cameroon,Government of France,UPC,1957
Cameroon,Government of France,UPC,1958
Cameroon,Government of France,UPC,1959
"Honduras, Nicaragua",Government of Honduras,Government of Nicaragua,1957
"Mauritania, Morocco",Government of France,NLA,1957
"Mauritania, Morocco",Government of France,NLA,1958
"Mauritania, Morocco",Government of Spain,NLA,1957
"Mauritania, Morocco",Government of Spain,NLA,1958
Oman,Government of Oman,State of Oman/Free Oman,1957
Iraq,Government of Iraq,Military faction (free Officers Movement),1958
Iraq,Government of Iraq,Military faction (forces of Abdul Wahab al-Shawaf),1959
Iraq,Government of Iraq,"Military faction (forces of Abd as-Salam Arif), NCRC",1963
Iraq,Government of Iraq,SCIRI,1982
Iraq,Government of Iraq,SCIRI,1983
Iraq,Government of Iraq,SCIRI,1984
Iraq,Government of Iraq,SCIRI,1987
Iraq,Government of Iraq,SCIRI,1991
Iraq,Government of Iraq,SCIRI,1992
Iraq,Government of Iraq,SCIRI,1993
Iraq,Government of Iraq,SCIRI,1994
Iraq,Government of Iraq,SCIRI,1995
Iraq,Government of Iraq,SCIRI,1996
Iraq,Government of Iraq,"al-Mahdi Army, Ansar al-Islam, IS",2004
Iraq,Government of Iraq,"Ansar al-Islam, IS, RJF",2005
Iraq,Government of Iraq,"Ansar al-Islam, IS, RJF",2006
Iraq,Government of Iraq,"al-Mahdi Army, Ansar al-Islam, IS, RJF",2007
Iraq,Government of Iraq,"al-Mahdi Army, IS",2008
Iraq,Government of Iraq,IS,2009
Iraq,Government of Iraq,IS,2010
Iraq,Government of Iraq,"Ansar al-Islam, IS",2011
Iraq,Government of Iraq,IS,2012
Iraq,Government of Iraq,IS,2013
Iraq,Government of Iraq,IS,2014
Iraq,Government of Iraq,IS,2015
Iraq,Government of Iraq,IS,2016
Iraq,Government of Iraq,IS,2017
Iraq,Government of Iraq,IS,2018
Iraq,Government of Iraq,IS,2019
Iraq,Government of Iraq,IS,2020
Iraq,Government of Iraq,IS,2021
Iraq,Government of Iraq,IS,2022
Iraq,Government of Iraq,IS,2023
Lebanon,Government of Lebanon,Independent Nasserite Movement,1958
Lebanon,Government of Lebanon,NSF,1975
Lebanon,Government of Lebanon,"LAA, NSF",1976
Lebanon,Government of Lebanon,NSF,1982
Lebanon,Government of Lebanon,"Amal, NSF",1983
Lebanon,Government of Lebanon,"Amal, NSF",1984
Lebanon,Government of Lebanon,NUF,1985
Lebanon,Government of Lebanon,"Lebanese Forces - Hobeika faction, NUF",1986
Lebanon,Government of Lebanon,"Forces of Michel Aoun, Lebanese Forces",1989
Lebanon,Government of Lebanon,Forces of Michel Aoun,1990
Malaysia,Government of Malaysia,CPM,1958
Malaysia,Government of Malaysia,CPM,1959
Malaysia,Government of Malaysia,CPM,1960
Malaysia,Government of Malaysia,CPM,1974
Malaysia,Government of Malaysia,CPM,1975
Malaysia,Government of Malaysia,CPM,1981
Laos,Government of Laos,Pathet Lao,1959
Laos,Government of Laos,"Neutralists, Pathet Lao",1960
Laos,Government of Laos,Pathet Lao,1961
Laos,Government of Laos,Pathet Lao,1963
Laos,Government of Laos,Pathet Lao,1964
Laos,Government of Laos,Pathet Lao,1965
Laos,Government of Laos,Pathet Lao,1966
Laos,Government of Laos,Pathet Lao,1967
Laos,Government of Laos,Pathet Lao,1968
Laos,Government of Laos,Pathet Lao,1969
Laos,Government of Laos,Pathet Lao,1970
Laos,Government of Laos,Pathet Lao,1971
Laos,Government of Laos,Pathet Lao,1972
Laos,Government of Laos,Pathet Lao,1973
Laos,Government of Laos,LRM,1989
Laos,Government of Laos,LRM,1990
Angola,Government of Portugal,"FNLA, MPLA",1961
Angola,Government of Portugal,FNLA,1962
Angola,Government of Portugal,"FNLA, MPLA",1963
Angola,Government of Portugal,"FNLA, MPLA",1964
Angola,Government of Portugal,"FNLA, MPLA",1965
Angola,Government of Portugal,"FNLA, MPLA, UNITA",1966
Angola,Government of Portugal,"MPLA, UNITA",1967
Angola,Government of Portugal,"FNLA, MPLA",1968
Angola,Government of Portugal,"FNLA, MPLA",1969
Angola,Government of Portugal,"FNLA, MPLA",1970
Angola,Government of Portugal,"FNLA, MPLA",1971
Angola,Government of Portugal,"FNLA, MPLA",1972
Angola,Government of Portugal,"FNLA, MPLA",1973
Angola,Government of Portugal,"FNLA, MPLA",1974
Myanmar (Burma),Government of Myanmar (Burma),NSH,1959
Myanmar (Burma),Government of Myanmar (Burma),SSIA,1960
Myanmar (Burma),Government of Myanmar (Burma),SSIA,1961
Myanmar (Burma),Government of Myanmar (Burma),SNUF,1962
Myanmar (Burma),Government of Myanmar (Burma),SNUF,1963
Myanmar (Burma),Government of Myanmar (Burma),SSA,1964
Myanmar (Burma),Government of Myanmar (Burma),SSA,1965
Myanmar (Burma),Government of Myanmar (Burma),SSA,1966
Myanmar (Burma),Government of Myanmar (Burma),SSA,1967
Myanmar (Burma),Government of Myanmar (Burma),SSA,1968
Myanmar (Burma),Government of Myanmar (Burma),"SSA, SSNLO, SURA",1969
Myanmar (Burma),Government of Myanmar (Burma),"SSA, SSNLO, SURA",1970
Myanmar (Burma),Government of Myanmar (Burma),SSA,1972
Myanmar (Burma),Government of Myanmar (Burma),SSA,1973
Myanmar (Burma),Government of Myanmar (Burma),"SSRA, SURA",1976
Myanmar (Burma),Government of Myanmar (Burma),SURA,1977
Myanmar (Burma),Government of Myanmar (Burma),SURA,1978
Myanmar (Burma),Government of Myanmar (Burma),SURA,1979
Myanmar (Burma),Government of Myanmar (Burma),SURA,1980
Myanmar (Burma),Government of Myanmar (Burma),SURA,1981
Myanmar (Burma),Government of Myanmar (Burma),SURA,1982
Myanmar (Burma),Government of Myanmar (Burma),SURA,1983
Myanmar (Burma),Government of Myanmar (Burma),TRC,1984
Myanmar (Burma),Government of Myanmar (Burma),MTA,1985
Myanmar (Burma),Government of Myanmar (Burma),MTA,1986
Myanmar (Burma),Government of Myanmar (Burma),MTA,1987
Myanmar (Burma),Government of Myanmar (Burma),MTA,1988
Myanmar (Burma),Government of Myanmar (Burma),MTA,1993
Myanmar (Burma),Government of Myanmar (Burma),MTA,1994
Myanmar (Burma),Government of Myanmar (Burma),MTA,1995
Myanmar (Burma),Government of Myanmar (Burma),RCSS,1996
Myanmar (Burma),Government of Myanmar (Burma),RCSS,1997
Myanmar (Burma),Government of Myanmar (Burma),RCSS,1998
Myanmar (Burma),Government of Myanmar (Burma),RCSS,1999
Myanmar (Burma),Government of Myanmar (Burma),RCSS,2000
Myanmar (Burma),Government of Myanmar (Burma),RCSS,2001
Myanmar (Burma),Government of Myanmar (Burma),RCSS,2002
Myanmar (Burma),Government of Myanmar (Burma),RCSS,2005
Myanmar (Burma),Government of Myanmar (Burma),RCSS,2006
Myanmar (Burma),Government of Myanmar (Burma),RCSS,2007
Myanmar (Burma),Government of Myanmar (Burma),RCSS,2008
Myanmar (Burma),Government of Myanmar (Burma),RCSS,2009
Myanmar (Burma),Government of Myanmar (Burma),RCSS,2010
Myanmar (Burma),Government of Myanmar (Burma),"RCSS, SSPP",2011
Myanmar (Burma),Government of Myanmar (Burma),"RCSS, SSPP",2013
Myanmar (Burma),Government of Myanmar (Burma),SSPP,2015
DR Congo (Zaire),Government of DR Congo (Zaire),State of Katanga,1961
DR Congo (Zaire),Government of DR Congo (Zaire),State of Katanga,1962
DR Congo (Zaire),Government of DR Congo (Zaire),Kata Katanga,2013
DR Congo (Zaire),Government of DR Congo (Zaire),Kata Katanga,2014
DR Congo (Zaire),Government of DR Congo (Zaire),Kata Katanga,2020
DR Congo (Zaire),Government of DR Congo (Zaire),Independent Mining State of South Kasai,1960
DR Congo (Zaire),Government of DR Congo (Zaire),Independent Mining State of South Kasai,1961
DR Congo (Zaire),Government of DR Congo (Zaire),Independent Mining State of South Kasai,1962
Ethiopia,Government of Ethiopia,Military faction (forces of Mengistu Neway),1960
Ethiopia,Government of Ethiopia,"EPRP, TPLF",1976
Ethiopia,Government of Ethiopia,"EDU, EPRP",1977
Ethiopia,Government of Ethiopia,"EDU, TPLF",1978
Ethiopia,Government of Ethiopia,TPLF,1979
Ethiopia,Government of Ethiopia,TPLF,1980
Ethiopia,Government of Ethiopia,TPLF,1981
Ethiopia,Government of Ethiopia,TPLF,1982
Ethiopia,Government of Ethiopia,"EPDM, TPLF",1983
Ethiopia,Government of Ethiopia,"EPDM, EPRP, TPLF",1984
Ethiopia,Government of Ethiopia,"EPDM, EPRP, TPLF",1985
Ethiopia,Government of Ethiopia,"EPRP, TPLF",1986
Ethiopia,Government of Ethiopia,"EPRP, TPLF",1987
Ethiopia,Government of Ethiopia,TPLF,1988
Ethiopia,Government of Ethiopia,"EPRDF, Military faction (forces of Amsha Desta and Merid Negusie)",1989
Ethiopia,Government of Ethiopia,EPRDF,1990
Ethiopia,Government of Ethiopia,"EPRDF, Forces of Harar garrison",1991
Ethiopia,Government of Ethiopia,TPLF,2020
Ethiopia,Government of Ethiopia,TPLF,2021
Ethiopia,Government of Ethiopia,"GLF, TPLF",2022
"Ethiopia, Somalia",Government of Ethiopia,Government of Somalia,1964
"Ethiopia, Somalia",Government of Ethiopia,Government of Somalia,1977
"Ethiopia, Somalia",Government of Ethiopia,Government of Somalia,1978
"Ethiopia, Somalia",Government of Ethiopia,Government of Somalia,1980
Nepal,Government of Nepal,NC,1960
Nepal,Government of Nepal,NC,1961
Nepal,Government of Nepal,NC,1962
Nepal,Government of Nepal,CPN-M,1996
Nepal,Government of Nepal,CPN-M,1997
Nepal,Government of Nepal,CPN-M,1998
Nepal,Government of Nepal,CPN-M,1999
Nepal,Government of Nepal,CPN-M,2000
Nepal,Government of Nepal,CPN-M,2001
Nepal,Government of Nepal,CPN-M,2002
Nepal,Government of Nepal,CPN-M,2003
Nepal,Government of Nepal,CPN-M,2004
Nepal,Government of Nepal,CPN-M,2005
Nepal,Government of Nepal,CPN-M,2006
France,Government of France,OAS,1961
France,Government of France,OAS,1962
Iraq,Government of Iraq,KDP,1961
Iraq,Government of Iraq,KDP,1962
Iraq,Government of Iraq,KDP,1963
Iraq,Government of Iraq,KDP,1964
Iraq,Government of Iraq,KDP,1965
Iraq,Government of Iraq,KDP,1966
Iraq,Government of Iraq,KDP,1967
Iraq,Government of Iraq,KDP,1968
Iraq,Government of Iraq,KDP,1969
Iraq,Government of Iraq,KDP,1970
Iraq,Government of Iraq,KDP,1973
Iraq,Government of Iraq,KDP,1974
Iraq,Government of Iraq,KDP,1975
Iraq,Government of Iraq,PUK,1976
Iraq,Government of Iraq,"KDP-QM, PUK",1977
Iraq,Government of Iraq,"KDP-QM, PUK",1978
Iraq,Government of Iraq,KDP,1979
Iraq,Government of Iraq,"KDP, PUK",1980
Iraq,Government of Iraq,"KDP, PUK",1981
Iraq,Government of Iraq,"KDP, PUK",1982
Iraq,Government of Iraq,"KDP, PUK",1983
Iraq,Government of Iraq,KDP,1984
Iraq,Government of Iraq,PUK,1985
Iraq,Government of Iraq,"KDP, PUK",1986
Iraq,Government of Iraq,"KDP, PUK",1987
Iraq,Government of Iraq,"KDP, PUK",1988
Iraq,Government of Iraq,"KDP, PUK",1989
Iraq,Government of Iraq,"KDP, PUK",1990
Iraq,Government of Iraq,"KDP, PUK",1991
Iraq,Government of Iraq,PUK,1992
Iraq,Government of Iraq,PUK,1995
Iraq,Government of Iraq,PUK,1996
"France, Tunisia",Government of France,Government of Tunisia,1961
Brunei,Government of United Kingdom,North Kalimantan Liberation Army,1962
"China, India",Government of China,Government of India,1962
"China, India",Government of China,Government of India,1967
"China, India",Government of China,Government of India,2020
Ethiopia,Government of Ethiopia,ELF,1964
Ethiopia,Government of Ethiopia,ELF,1965
Ethiopia,Government of Ethiopia,ELF,1966
Ethiopia,Government of Ethiopia,ELF,1967
Ethiopia,Government of Ethiopia,ELF,1968
Ethiopia,Government of Ethiopia,ELF,1969
Ethiopia,Government of Ethiopia,ELF,1970
Ethiopia,Government of Ethiopia,ELF,1971
Ethiopia,Government of Ethiopia,ELF,1972
Ethiopia,Government of Ethiopia,"ELF, EPLF",1973
Ethiopia,Government of Ethiopia,ELF,1974
Ethiopia,Government of Ethiopia,"ELF, EPLF",1975
Ethiopia,Government of Ethiopia,"ELF, EPLF",1976
Ethiopia,Government of Ethiopia,"ELF, EPLF",1977
Ethiopia,Government of Ethiopia,"ELF, EPLF",1978
Ethiopia,Government of Ethiopia,"ELF, EPLF",1979
Ethiopia,Government of Ethiopia,"ELF, EPLF",1980
Ethiopia,Government of Ethiopia,EPLF,1981
Ethiopia,Government of Ethiopia,EPLF,1982
Ethiopia,Government of Ethiopia,EPLF,1983
Ethiopia,Government of Ethiopia,EPLF,1984
Ethiopia,Government of Ethiopia,EPLF,1985
Ethiopia,Government of Ethiopia,EPLF,1986
Ethiopia,Government of Ethiopia,EPLF,1987
Ethiopia,Government of Ethiopia,EPLF,1988
Ethiopia,Government of Ethiopia,EPLF,1989
Ethiopia,Government of Ethiopia,EPLF,1990
Ethiopia,Government of Ethiopia,EPLF,1991
"Indonesia, Netherlands",Government of Indonesia,Government of Netherlands,1962
Venezuela,Government of Venezuela,Military faction (navy),1962
Venezuela,Government of Venezuela,Bandera Roja,1982
Venezuela,Government of Venezuela,Military faction (forces of Hugo Chávez),1992
"Algeria, Morocco",Government of Algeria,Government of Morocco,1963
Guinea-Bissau,Government of Portugal,PAIGC,1963
Guinea-Bissau,Government of Portugal,PAIGC,1964
Guinea-Bissau,Government of Portugal,PAIGC,1965
Guinea-Bissau,Government of Portugal,PAIGC,1966
Guinea-Bissau,Government of Portugal,PAIGC,1967
Guinea-Bissau,Government of Portugal,PAIGC,1968
Guinea-Bissau,Government of Portugal,PAIGC,1969
Guinea-Bissau,Government of Portugal,PAIGC,1970
Guinea-Bissau,Government of Portugal,PAIGC,1971
Guinea-Bissau,Government of Portugal,PAIGC,1972
Guinea-Bissau,Government of Portugal,PAIGC,1973
Malaysia,Government of Malaysia,CCO,1963
Malaysia,Government of Malaysia,CCO,1964
Malaysia,Government of Malaysia,CCO,1965
Malaysia,Government of Malaysia,CCO,1966
"Indonesia, Malaysia",Government of Indonesia,Government of Malaysia,1963
"Indonesia, Malaysia",Government of Indonesia,Government of Malaysia,1964
"Indonesia, Malaysia",Government of Indonesia,Government of Malaysia,1965
"Indonesia, Malaysia",Government of Indonesia,Government of Malaysia,1966
Sudan,Government of Sudan,SSLM,1963
Sudan,Government of Sudan,SSLM,1964
Sudan,Government of Sudan,SSLM,1965
Sudan,Government of Sudan,SSLM,1966
Sudan,Government of Sudan,SSLM,1967
Sudan,Government of Sudan,SSLM,1968
Sudan,Government of Sudan,SSLM,1969
Sudan,Government of Sudan,SSLM,1970
Sudan,Government of Sudan,SSLM,1971
Sudan,Government of Sudan,SSLM,1972
DR Congo (Zaire),Government of DR Congo (Zaire),CNL,1964
DR Congo (Zaire),Government of DR Congo (Zaire),CNL,1965
DR Congo (Zaire),Government of DR Congo (Zaire),Military Faction (Forces of Jean Schramme),1967
DR Congo (Zaire),Government of DR Congo (Zaire),FLNC,1977
DR Congo (Zaire),Government of DR Congo (Zaire),FLNC,1978
DR Congo (Zaire),Government of DR Congo (Zaire),AFDL,1996
DR Congo (Zaire),Government of DR Congo (Zaire),AFDL,1997
DR Congo (Zaire),Government of DR Congo (Zaire),"MLC, RCD",1998
DR Congo (Zaire),Government of DR Congo (Zaire),"MLC, RCD",1999
DR Congo (Zaire),Government of DR Congo (Zaire),"MLC, RCD",2000
DR Congo (Zaire),Government of DR Congo (Zaire),RCD,2001
DR Congo (Zaire),Government of DR Congo (Zaire),RNL,2005
DR Congo (Zaire),Government of DR Congo (Zaire),CNDP,2006
DR Congo (Zaire),Government of DR Congo (Zaire),CNDP,2007
DR Congo (Zaire),Government of DR Congo (Zaire),CNDP,2008
DR Congo (Zaire),Government of DR Congo (Zaire),CNPSC,2011
DR Congo (Zaire),Government of DR Congo (Zaire),"CNPSC, M23, UPCP",2012
DR Congo (Zaire),Government of DR Congo (Zaire),"APCLS, Forces of Paul Joseph Mukungubila, M23",2013
DR Congo (Zaire),Government of DR Congo (Zaire),"APCLS, CNPSC",2014
DR Congo (Zaire),Government of DR Congo (Zaire),"Kamuina Nsapu, RNL",2016
DR Congo (Zaire),Government of DR Congo (Zaire),"CNPSC, Kamuina Nsapu, M23, MNR",2017
DR Congo (Zaire),Government of DR Congo (Zaire),"CMC, CNPSC, Kamuina Nsapu, UPLC",2018
DR Congo (Zaire),Government of DR Congo (Zaire),"CMC, CNPSC, UPLC",2019
DR Congo (Zaire),Government of DR Congo (Zaire),"APCLS, CMC, CNPSC",2020
DR Congo (Zaire),Government of DR Congo (Zaire),"APCLS, CMC, CNPSC, M23, RNL",2021
DR Congo (Zaire),Government of DR Congo (Zaire),"CNPSC, M23, Mayi Mayi Biloze Bishambuke, Mayi Mayi Kyandenga, RNL",2022
DR Congo (Zaire),Government of DR Congo (Zaire),M23,2023
Gabon,Government of Gabon,Military faction (forces loyal to Léon M'Ba),1964
Mozambique,Government of Portugal,Frelimo,1964
Mozambique,Government of Portugal,Frelimo,1965
Mozambique,Government of Portugal,Frelimo,1966
Mozambique,Government of Portugal,Frelimo,1967
Mozambique,Government of Portugal,Frelimo,1968
Mozambique,Government of Portugal,Frelimo,1969
Mozambique,Government of Portugal,Frelimo,1970
Mozambique,Government of Portugal,Frelimo,1971
Mozambique,Government of Portugal,Frelimo,1972
Mozambique,Government of Portugal,Frelimo,1973
Mozambique,Government of Portugal,Frelimo,1974
South Yemen,Government of United Kingdom,FLOSY,1964
South Yemen,Government of United Kingdom,FLOSY,1965
South Yemen,Government of United Kingdom,FLOSY,1966
South Yemen,Government of United Kingdom,FLOSY,1967
Burundi,Government of Burundi,Military faction (forces loyal to Gervais Nyangoma),1965
Burundi,Government of Burundi,Palipehutu,1991
Burundi,Government of Burundi,Palipehutu,1992
Burundi,Government of Burundi,CNDD,1994
Burundi,Government of Burundi,"CNDD, Palipehutu-FNL",1995
Burundi,Government of Burundi,"CNDD, Palipehutu-FNL",1996
Burundi,Government of Burundi,"CNDD, Frolina, Palipehutu-FNL",1997
Burundi,Government of Burundi,"CNDD, CNDD-FDD , Palipehutu-FNL",1998
Burundi,Government of Burundi,"CNDD-FDD , Palipehutu-FNL",1999
Burundi,Government of Burundi,"CNDD-FDD , Palipehutu-FNL",2000
Burundi,Government of Burundi,"CNDD-FDD , Palipehutu-FNL",2001
Burundi,Government of Burundi,"CNDD-FDD , Palipehutu-FNL",2002
Burundi,Government of Burundi,"CNDD-FDD , Palipehutu-FNL",2003
Burundi,Government of Burundi,Palipehutu-FNL,2004
Burundi,Government of Burundi,Palipehutu-FNL,2005
Burundi,Government of Burundi,Palipehutu-FNL,2006
Burundi,Government of Burundi,Palipehutu-FNL,2008
Burundi,Government of Burundi,RED-TABARA,2014
Burundi,Government of Burundi,"FPB, Military faction (forces of Godefroid Niyombare), RED-TABARA",2015
