recipients,suppliers,year,quantity,weapon description,status
Belgium,Canada,1956,55,turbojet,New
Colombia,Canada,1954,6,fighter aircraft,New
Colombia,Canada,1954,9,turbojet,New
Mexico,Canada,2014,1,light transport aircraft,New
Mali,Canada,2016,2,aircraft engine,New
UAE,Canada,2014,24,aircraft engine,New
Tanzania,Canada,1965,6,light transport aircraft,New
Sudan,Canada,1977,4,transport aircraft,New
United States,Canada,1953,100,trainer aircraft,New
Philippines,Canada,2014,6,aircraft engine,New
Saudi Arabia,Canada,2014,385,APC,New
China,Canada,1983,3,MP aircraft radar,New
Kenya,Canada,1964,4,transport aircraft,New
Australia,Canada,1963,18,transport aircraft,New
Honduras,Canada,1984,12,aircraft engine,New
United Kingdom,Canada,2016,10,aircraft engine,New
Benin,Canada,1995,1,transport aircraft,Second hand
South Korea,Canada,1976,8,aircraft engine,New
Iran,Canada,1972,202,aircraft engine,New
United States,Canada,1967,67,aircraft engine,New
Mexico,Canada,2014,4,aircraft engine,New
Chile,Canada,2017,6,aircraft engine,New
Saudi Arabia,Canada,2015,8,aircraft engine,New
Viet Nam,Canada,2010,3,maritime patrol aircraft,New
Brazil,Canada,2018,2,aircraft engine,New
Portugal,Canada,1954,20,self-propelled gun,Second hand
Egypt,Canada,2011,10,APV,New
Ghana,Canada,2011,50,APC,New
Viet Nam,Canada,2010,3,transport aircraft,New
Kenya,Canada,1966,8,light transport aircraft,New
Kenya,Canada,1964,3,light transport aircraft,New
Qatar,Canada,2018,2,transport aircraft,New
United States,Canada,2018,6,aircraft engine,New
Tunisia,Canada,2021,8,aircraft engine,New
Colombia,Canada,2014,12,APC,New
Ukraine,Canada,2014,39,APC/APV,New
Thailand,Canada,1967,3,transport aircraft,New
Djibouti,Canada,2013,2,aircraft engine,New
United States,Canada,2014,4,aircraft engine,New
Denmark,Canada,1971,22,FGA aircraft,Second hand
Colombia,Canada,2013,32,APC,New
Mexico,Canada,2011,2,aircraft engine,New
Laos,Canada,2010,4,aircraft engine,New
Oman,Canada,2012,16,aircraft engine,New
Poland,Canada,2012,10,aircraft engine,New
Finland,Canada,2010,2,aircraft engine,New
Iran,Canada,1983,35,aircraft engine,New
Zambia,Canada,2005,4,aircraft engine,New
Thailand,Canada,2007,6,aircraft engine,New
Iran,Canada,1974,20,aircraft engine,New
Italy,Canada,2008,8,aircraft engine,New
Colombia,Canada,2007,8,aircraft engine,New
Nigeria,Canada,2007,4,aircraft engine,New
Spain,Canada,1978,12,aircraft engine,New
Turkiye,Canada,2005,16,aircraft engine,New
Italy,Canada,1975,55,aircraft engine,New
Italy,Canada,1984,9,aircraft engine,New
Poland,Canada,2001,16,aircraft engine,New
Tanzania,Canada,1977,6,transport aircraft,New
Saudi Arabia,Canada,2016,89,APV,New
Saudi Arabia,Canada,2013,70,APV,New
UAE,Canada,2008,10,transport aircraft,New
Pakistan,Canada,2014,1,light transport aircraft,New
Portugal,Canada,1988,3,ASW sonar,New
Netherlands,Canada,1993,7,transport helicopter,Second hand
Botswana,Canada,1996,13,FGA aircraft,Second hand but modernized
Mexico,Canada,2011,6,aircraft engine,New
Indonesia,Canada,1956,2,light transport aircraft,New
Saudi Arabia,Canada,1990,525,APC,New
Bangladesh,Canada,2016,2,aircraft engine,New
India,Canada,1967,4,transport aircraft,New
India,Canada,1956,26,light transport aircraft,New
New Zealand,Canada,2014,11,aircraft engine,New
Cuba,Canada,1957,3,light transport aircraft,New
Brazil,Canada,2014,4,aircraft engine,New
Singapore,Canada,1991,18,aircraft engine,New
Uruguay,Canada,1954,10,trainer aircraft,New
Algeria,Canada,2004,12,aircraft engine,New
India,Canada,1963,6,transport aircraft,Second hand
India,Canada,1962,5,light transport aircraft,New
India,Canada,1962,36,trainer aircraft,Second hand
Brazil,Canada,2005,24,aircraft engine,New
Oman,Canada,1981,1,transport aircraft,New
Oman,Canada,1982,1,transport aircraft,New
DR Congo,Canada,1964,2,transport aircraft,Second hand
Mozambique,Canada,2021,3,aircraft engine,New
Jordan,Canada,2003,4,aircraft engine,New
Kenya,Canada,1976,6,transport aircraft,New
United States,Canada,1984,326,APC,New
Portugal,Canada,1960,5,trainer aircraft,Second hand
India,Canada,1984,5,ASW sonar,New
Ecuador,Canada,2012,6,aircraft engine,New
Portugal,Canada,1950,1,minesweeper,Second hand
Philippines,Canada,2017,6,aircraft engine,New
Mexico,Canada,2014,2,aircraft engine,New
Jordan,Canada,2015,4,aircraft engine,New
Australia,Canada,1964,7,transport aircraft,New
North Yemen,Canada,1955,1,light transport aircraft,New
Bangladesh,Canada,2020,2,aircraft engine,New
Australia,Canada,1992,64,APC,New
Portugal,Canada,1954,40,APC,Second hand
Denmark,Canada,2000,2,maritime patrol aircraft,New
Denmark,Canada,1998,1,maritime patrol aircraft,New
Spain,Canada,2020,24,aircraft engine,New
France,Canada,2021,9,aircraft engine,New
Turkiye,Canada,2013,15,aircraft engine,New
Uruguay,Canada,1992,6,aircraft engine,New
Saudi Arabia,Canada,1994,20,aircraft engine,New
UAE,Canada,1984,10,aircraft engine,New
Bulgaria,Canada,2003,6,aircraft engine,New
Israel,Canada,2006,10,aircraft engine,New
Chile,Canada,2008,12,aircraft engine,New
Ecuador,Canada,2008,18,aircraft engine,New
Poland,Canada,2011,12,aircraft engine,New
Germany,Canada,2018,5,aircraft engine,New
Argentina,Canada,2017,12,aircraft engine,New
Bolivia,Canada,1980,12,aircraft engine,New
Lebanon,Canada,2015,8,aircraft engine,New
Peru,Canada,1985,8,transport aircraft,New
Mexico,Canada,2014,11,aircraft engine,New
Peru,Canada,1970,8,transport aircraft,New
Mexico,Canada,2014,12,aircraft engine,New
Greece,Canada,1978,5,aircraft engine,New
Greece,Canada,1982,7,aircraft engine,New
Ukraine,Canada,2022,10,APC,New
Venezuela,Canada,1971,18,FGA aircraft,Second hand
UAE,Canada,2009,25,aircraft engine,New
France,Canada,2016,17,aircraft engine,New
Jordan,Canada,2017,2,aircraft engine,New
Jordan,Canada,2016,2,aircraft engine,New
Mexico,Canada,1985,33,aircraft engine,New
Egypt,Canada,1983,40,aircraft engine,New
Malaysia,Canada,2013,5,aircraft engine,New
United States,Canada,1996,748,aircraft engine,New
Angola,Canada,1986,8,aircraft engine,New
Malaysia,Canada,2000,9,aircraft engine,New
United States,Canada,1978,2,aircraft engine,New
Myanmar,Canada,1979,8,aircraft engine,New
Suriname,Canada,1985,3,aircraft engine,New
Myanmar,Canada,1977,8,aircraft engine,New
Indonesia,Canada,2011,8,aircraft engine,New
UAE,Canada,2017,10,aircraft engine,New
Portugal,Canada,2006,24,aircraft engine,New
Chile,Canada,2007,6,aircraft engine,New
Mexico,Canada,2009,10,aircraft engine,New
Viet Nam,Canada,2014,6,aircraft engine,New
Egypt,Canada,2014,16,aircraft engine,New
Czechia,Canada,2019,4,aircraft engine,New
Netherlands,Canada,1993,8,aircraft engine,New
United States,Canada,2021,6,transport aircraft,New
Chad,Canada,2022,3,aircraft engine,New
Kazakhstan,Canada,2022,2,aircraft engine,New
Ireland,Canada,2022,2,aircraft engine,New
Ukraine,Canada,2022,39,APC,New
United States,Chad,1987,2,combat helicopter,Second hand
United States,Chad,1987,36,IFV,Second hand
El Salvador,Chile,2013,10,ground attack aircraft,Second hand
Ecuador,Chile,2002,4,trainer aircraft,New
Uruguay,Chile,1978,2,trainer aircraft,Second hand
Uruguay,Chile,1975,2,trainer aircraft,Second hand
Guatemala,Chile,1998,5,trainer aircraft,Second hand but modernized
Uruguay,Chile,1992,1,tug,Second hand
Panama,Chile,1988,6,trainer aircraft,New
Panama,Chile,1987,4,trainer aircraft,New
Uruguay,Chile,1980,4,trainer aircraft,Second hand
Dominican Republic,Chile,1998,8,trainer aircraft,New
Spain,Chile,1987,1,trainer aircraft,New
Spain,Chile,1984,40,trainer aircraft,New
Ecuador,Chile,2007,2,frigate,Second hand
Uruguay,Chile,2017,3,light aircraft,Second hand
Paraguay,Chile,1983,5,trainer aircraft,Second hand
Paraguay,Chile,1980,4,light helicopter,Second hand
Paraguay,Chile,1991,13,trainer aircraft,New
Mauritius,Chile,1994,1,OPV,New
El Salvador,Chile,1997,5,trainer aircraft,Second hand but modernized
Ecuador,Chile,2022,1,tug,Second hand
Viet Minh (France)*,China,1953,5,tank,Second hand
Algeria,China,2020,1,frigate,New
Kazakhstan,China,2015,3,armed UAV,New
Turkmenistan,China,2015,2,armed UAV,New
Nigeria,China,2019,6,AFSV,New
Bangladesh,China,2012,30,anti-ship/land-attack missile,New
Bangladesh,China,2018,30,anti-ship/land-attack missile,New
Algeria,China,2012,50,anti-ship/land-attack missile,New
Malawi,China,2021,2,transport aircraft,New
Algeria,China,1999,25,anti-ship missile,New
Algeria,China,2020,10,anti-ship/land-attack missile,New
Sri Lanka,China,1986,6,light transport aircraft,New
Sri Lanka,China,1990,3,light transport aircraft,New
Sri Lanka,China,2009,2,light transport aircraft,New
Gabon,China,2019,16,APC,New
Sri Lanka,China,2023,2,light transport aircraft,New
Angola,China,2013,45,vehicle engine,New
Algeria,China,2004,1,training ship,New
Mexico,China,2006,13,towed gun,New
Iraq,China,2014,100,ASM,New
Cote d'Ivoire,China,2021,16,APC,New
Nigeria,China,2019,12,tank,New
Myanmar,China,2019,,tank turret,New
Tajikistan,China,2017,10,APC,New
Tajikistan,China,2017,10,APV,New
Myanmar,China,2021,1,transport aircraft,New
North Korea,China,1988,30,fighter aircraft,New
Myanmar,China,2013,7,SAM system,New
Myanmar,China,2009,48,trainer/combat aircraft,New
Laos,China,2017,12,self-propelled MRL,New
Saudi Arabia,China,2017,5,UAV,New
Thailand,China,2019,100,SAM,New
Venezuela,China,2012,18,self-propelled MRL,New
Sri Lanka,China,2000,10,trainer aircraft,New
Sri Lanka,China,2016,6,trainer aircraft,New
Tanzania,China,1970,12,fighter aircraft,Second hand
Nigeria,China,2019,2,self-propelled gun,New
Nigeria,China,2019,3,self-propelled gun,New
Indonesia,China,1958,3,fighter aircraft,Second hand
Indonesia,China,1958,24,fighter aircraft,Second hand
Indonesia,China,1958,12,fighter aircraft,Second hand
Indonesia,China,1958,12,bomber aircraft,Second hand
Somalia,China,2017,12,APV,New
Thailand,China,2019,1,AALS,New
Bolivia,China,2018,10,APV,New
Pakistan,China,2019,1,SAM system,New
Pakistan,China,2014,3,SAM system,New
Serbia,China,2019,6,armed UAV,New
Serbia,China,2020,3,SAM system,New
Viet Nam,China,1964,60,APC,Second hand
Guinea,China,2020,5,APC/APV,New
Turkmenistan,China,2016,1,air search system,New
Pakistan,China,2008,1000,guided bomb,New
Pakistan,China,2011,100,anti-radar missile,New
Pakistan,China,2006,1100,SRAAM,New
Pakistan,China,2014,300,SAM,New
Ethiopia,China,2012,1,SAM system,New
Egypt,China,2016,10,armed UAV,New
Laos,China,2018,2,armed UAV,New
Algeria,China,2017,5,UAV,New
Indonesia,China,2017,6,armed UAV,New
Iraq,China,2014,20,armed UAV,New
Jordan,China,2015,6,armed UAV,New
Myanmar,China,2015,16,FGA aircraft,New
Nigeria,China,2021,60,IFV,New
Ethiopia,China,2019,4,self-propelled MRL,New
Algeria,China,2021,24,armed UAV,New
Algeria,China,2013,3,APC,New
Saudi Arabia,China,2007,54,self-propelled gun,New
Thailand,China,2015,2,artillery locating radar,New
Egypt,China,2016,200,ASM,New
Pakistan,China,2008,100,aircraft EO system,New
Algeria,China,2013,50,self-propelled gun,New
Pakistan,China,1998,430,tank,New
Pakistan,China,2006,750,BVRAAM,New
Angola,China,2018,12,trainer/combat aircraft,New
Senegal,China,2022,3,AFSV,New
Pakistan,China,2018,236,self-propelled gun,New
Serbia,China,2019,50,ASM,New
Myanmar,China,2008,6,self-propelled gun,New
Cambodia,China,2021,8,self-propelled MRL,New
Thailand,China,2019,3,IFV,New
Uzbekistan,China,2013,30,anti-tank missile,New
Thailand,China,2012,0,guided rocket,New
Algeria,China,2013,20,APC,New
Bangladesh,China,2019,44,tank,New
Central African Republic,China,2021,4,APC/APV,New
Kuwait,China,2001,24,ALV,New
Kuwait,China,1998,27,ALV,New
Tanzania,China,2010,6,trainer/combat aircraft,New
Tanzania,China,2012,1,mobile SAM system,New
Tanzania,China,2010,10,APC,New
Morocco,China,2016,3,SAM system,New
Kuwait,China,2001,24,self-propelled gun,New
Morocco,China,2016,150,SAM,New
Myanmar,China,2020,4,light transport aircraft,New
Mali,China,2022,80,APC,New
Algeria,China,2013,50,ALV,New
Pakistan,China,2018,48,armed UAV,New
Algeria,China,2013,8,artillery locating radar,New
Egypt,China,2016,200,anti-tank missile,New
Algeria,China,2007,18,towed gun,New
Myanmar,China,2020,1,submarine,Second hand
Djibouti,China,2019,1,landing ship,New
Djibouti,China,2019,1,patrol craft,New
Malaysia,China,2017,4,OPV,New
Uganda,China,2021,2,APC,New
Benin,China,2022,10,mortar,New
Tanzania,China,1982,20,towed gun,New
Kazakhstan,China,2015,50,anti-tank missile,New
Pakistan,China,2020,1,transport aircraft,Second hand
Pakistan,China,2012,50,FGA aircraft,New
Senegal,China,2022,2,APC,New
Zimbabwe,China,2023,8,AFSV,New
Tanzania,China,2019,1,air search radar,New
Cote d'Ivoire,China,2022,5,AFSV,New
Ghana,China,2023,4,self-propelled MRL,New
Pakistan,China,2010,100,anti-ship missile,New
Pakistan,China,2021,36,FGA aircraft,New
Bangladesh,China,2019,5,patrol craft,New
Tanzania,China,2012,1,air search radar,New
Burkina Faso,China,1984,4,towed MRL,New
Tanzania,China,2012,24,light tank,New
Pakistan,China,1989,0,anti-tank missile,New
Tanzania,China,2019,5,tank,New
Pakistan,China,2019,679,tank,New
Pakistan,China,2019,70,SAM,New
Ghana,China,2006,4,trainer/combat aircraft,New
Zambia,China,2005,2,transport aircraft,New
Zambia,China,2006,5,light transport aircraft,New
Zimbabwe,China,2006,6,trainer/combat aircraft,New
Tanzania,China,2002,2,transport aircraft,New
Ethiopia,China,1998,25,towed MRL,New
Bolivia,China,1995,30,portable SAM,New
Algeria,China,2000,3,fire control radar,New
Algeria,China,1983,3,air search radar,New
Myanmar,China,2001,8,naval gun,New
Gabon,China,2004,16,towed MRL,New
Venezuela,China,2006,7,air search radar,New
Gabon,China,2004,4,self-propelled MRL,New
Gabon,China,2004,10,self-propelled MRL,New
Viet Nam,China,1965,12,bomber aircraft,Second hand
Thailand,China,2017,7,ARV,New
Nigeria,China,2005,20,SRAAM,New
Zimbabwe,China,2005,6,trainer/combat aircraft,New
Pakistan,China,2003,143,towed gun,New
Bangladesh,China,2006,16,fighter aircraft,New
Pakistan,China,2003,6,FGA aircraft,New
Zambia,China,2010,8,trainer/combat aircraft,New
Sudan,China,2003,12,trainer aircraft,New
Myanmar,China,1996,3,fire control radar,New
Bangladesh,China,2005,54,towed gun,New
Kuwait,China,2001,4,APC,New
Sri Lanka,China,2004,3,trainer/combat aircraft,New
Sierra Leone,China,1997,1,patrol craft,New
Romania,China,1978,2,bomber aircraft,New
Myanmar,China,2001,30,anti-ship missile,New
Guyana,China,2001,1,light transport aircraft,New
Bangladesh,China,2000,114,anti-tank missile,New
Bangladesh,China,2000,21,portable SAM,New
Iran,China,1998,250,SAM,New
Pakistan,China,2005,100,SAM,New
Oman,China,2001,6,self-propelled MRL,New
Sudan,China,1991,18,towed gun,New
Iran,China,1996,3,air search radar,New
Pakistan,China,2003,1,air search radar,New
Albania,China,1964,6,FAC,Second hand
Iran,China,2000,9,FAC,New
Kuwait,China,1998,4,APC,New
Armenia,China,1999,4,self-propelled MRL,New
Thailand,China,1999,28,anti-ship missile,New
Kenya,China,1999,6,light transport aircraft,New
Albania,China,1971,10,trainer aircraft,New
Sri Lanka,China,2000,6,trainer/combat aircraft,New
Myanmar,China,1993,100,SRAAM,New
Laos,China,2017,3,mobile SAM system,New
Algeria,China,2016,18,self-propelled MRL,New
Namibia,China,2000,4,trainer/combat aircraft,New
Zambia,China,1998,8,trainer/combat aircraft,New
Albania,China,1955,4,trainer aircraft,New
Pakistan,China,2001,46,fighter aircraft,New
Pakistan,China,1971,200,towed gun,New
Namibia,China,1997,2,light transport aircraft,New
Bolivia,China,1992,18,towed gun,New
Iraq,China,1985,5,air search radar,New
Sri Lanka,China,1997,2,patrol craft,New
Bangladesh,China,1989,50,APC,New
Pakistan,China,1996,2,fire control radar,New
Cambodia,China,1987,50,portable SAM,New
Sri Lanka,China,1998,36,towed gun,New
Thailand,China,1987,5,ARV,New
Iran,China,1989,30,SSM launcher,New
Iran,China,1993,9,light transport aircraft,New
Pakistan,China,1992,87,towed gun,New
Myanmar,China,1988,3,height-finding radar,New
Myanmar,China,1988,3,air search radar,New
Myanmar,China,1989,100,APC,New
Myanmar,China,1997,12,trainer/combat aircraft,New
Myanmar,China,1994,50,anti-ship missile,New
Egypt,China,1983,1,height-finding radar,New
Egypt,China,1983,1,air search radar,New
Egypt,China,1992,1,air search radar,New
Bangladesh,China,1992,1,FAC,New
Bangladesh,China,1989,250,SRAAM,New
Bangladesh,China,1995,1,patrol craft,New
Bangladesh,China,1991,42,towed gun,New
Bosnia-Herzegovina,China,1993,300,anti-tank missile,New
Bangladesh,China,1996,4,fighter aircraft,New
Bangladesh,China,1993,5,ARV,New
Bangladesh,China,1991,50,tank,New
Myanmar,China,1991,5,fire control radar,New
UAE,China,1990,20,towed gun,New
Kuwait,China,1998,1,ARV,New
Iran,China,1990,15,towed gun,New
Pakistan,China,1995,6,light transport aircraft,New
Sri Lanka,China,1996,3,patrol craft,New
Zambia,China,1977,2,trainer aircraft,New
Zimbabwe,China,1986,10,tank,New
Tanzania,China,1985,5,trainer aircraft,New
DR Congo,China,1978,2,FAC,Second hand
Nicaragua,China,1984,33,towed MRL,New
Albania,China,1965,450,SRAAM,New
Albania,China,1975,50,towed gun,New
Albania,China,1970,100,towed gun,New
Albania,China,1968,90,towed gun,New
Viet Nam,China,1963,3,FAC,New
Pakistan,China,1964,25,fire control radar,New
Libya,China,1980,250,towed MRL,New
Syria,China,1981,100,towed MRL,New
Albania,China,1971,1,bomber aircraft,New
Albania,China,1994,1,coastal defence system,New
Albania,China,1994,15,anti-ship missile,New
Pakistan,China,1997,20,anti-ship missile,New
Bangladesh,China,1992,5,anti-ship missile,New
Algeria,China,1988,1,support ship,New
Bangladesh,China,1995,18,towed gun,Second hand
Bangladesh,China,1990,50,portable SAM,New
Pakistan,China,1984,100,portable SAM,New
Zimbabwe,China,1990,2,fighter aircraft,New
Zimbabwe,China,1984,2,trainer aircraft,Second hand
Viet Nam,China,1970,100,APC,New
Viet Nam,China,1969,150,light tank,New
Albania,China,1972,103,APC,New
Zimbabwe,China,1981,30,APC,New
DR Congo,China,1975,12,APC,New
Thailand,China,1993,1,replenishment ship,New
Kuwait,China,2001,1,ARV,New
Eritrea,China,1994,4,light transport aircraft,New
Mauritania,China,1994,2,light transport aircraft,New
Tanzania,China,1994,2,light transport aircraft,New
Cambodia,China,1994,2,light transport aircraft,New
Yemen,China,1992,3,FAC,New
Myanmar,China,1993,40,SRAAM,New
Myanmar,China,1992,225,SRAAM,New
Sri Lanka,China,1994,1,patrol craft,New
Sri Lanka,China,1994,1,landing ship,New
Albania,China,1966,37,helicopter,New
Albania,China,1961,8,trainer aircraft,New
North Korea,China,1968,6,coastal defence system,New
Sudan,China,1995,6,fighter aircraft,New
Sri Lanka,China,1994,3,patrol craft,New
Myanmar,China,1990,200,portable SAM,New
Myanmar,China,1992,1,fire control radar,New
Myanmar,China,1990,4,fire control radar,New
Sri Lanka,China,1992,1,transport aircraft,New
Tunisia,China,1993,3,patrol craft,New
Zambia,China,1994,3,light transport aircraft,New
Albania,China,1964,11,trainer aircraft,New
Albania,China,1964,400,SRAAM,New
Albania,China,1965,721,tank,New
Myanmar,China,1994,6,FAC,New
Iran,China,1994,2,transport aircraft,New
Iran,China,1991,106,towed gun,New
Bolivia,China,1992,36,towed gun,Second hand
Pakistan,China,1974,2,fighter aircraft,New
Iraq,China,1985,1000,portable SAM,New
Myanmar,China,1993,50,light tank,New
Tanzania,China,1991,2,patrol craft,New
Albania,China,1970,35,light tank,New
Albania,China,1970,50,SAM,New
Albania,China,1970,2,SAM system,New
Egypt,China,1983,4,patrol craft,New
Bangladesh,China,1992,10,anti-ship missile,New
Iran,China,1992,10,FAC,New
Bangladesh,China,1992,1,FAC,New
Myanmar,China,1991,4,transport aircraft,New
Pakistan,China,1988,4,patrol craft,New
Albania,China,1967,32,FAC,New
Albania,China,1974,6,patrol craft,New
Bangladesh,China,1987,40,anti-ship missile,New
Bangladesh,China,1987,4,FAC,New
Myanmar,China,1991,5,naval gun,New
Bangladesh,China,1987,4,FAC,New
Pakistan,China,1985,1,replenishment ship,New
Sri Lanka,China,1991,20,APC,New
Peru,China,1991,6,light transport aircraft,New
Sri Lanka,China,1990,12,towed gun,New
Thailand,China,1991,25,fire control radar,New
Sudan,China,1991,2,transport aircraft,New
Sri Lanka,China,1990,5,fighter aircraft,New
Sri Lanka,China,1991,3,patrol craft,New
Sri Lanka,China,1990,2,trainer aircraft,New
Myanmar,China,1989,55,light tank,New
Myanmar,China,1990,75,SRAAM,New
Myanmar,China,1990,2,fighter aircraft,New
Algeria,China,1989,7,patrol craft,New
Bangladesh,China,1989,12,FGA aircraft,New
Thailand,China,1988,50,anti-ship missile,New
Sudan,China,1988,10,towed gun,New
Pakistan,China,1995,2,naval gun,New
Iran,China,1989,200,SAM,New
Iran,China,1989,8,SAM system,New
Iran,China,1988,100,anti-ship missile,New
North Korea,China,1986,100,fighter aircraft,New
Iran,China,1986,600,SRAAM,New
Iran,China,1986,400,SRAAM,New
Sierra Leone,China,1985,2,patrol craft,New
Khmer Rouge (Cambodia)*,China,1988,20,portable SAM,New
DR Congo,China,1986,2,patrol craft,New
Thailand,China,1988,18,towed gun,New
Thailand,China,1988,23,tank,New
Thailand,China,1987,500,portable SAM,New
Thailand,China,1988,650,portable SAM,New
Iran,China,1982,6500,anti-tank missile,New
Iraq,China,1987,200,anti-ship missile,New
Iran,China,1986,500,tank,New
Iran,China,1986,120,towed gun,New
Iran,China,1986,7,coastal defence system,New
Thailand,China,1986,18,towed gun,New
Iraq,China,1987,4,bomber aircraft,New
Iran,China,1986,75,anti-ship missile,New
North Korea,China,1979,4,FAC,New
Sudan,China,1986,12,fighter aircraft,New
Iran,China,1985,5,fighter aircraft,New
Iran,China,1985,6,SAM system,New
Tanzania,China,1979,25,APC,Second hand
North Korea,China,1980,50,towed gun,New
Viet Nam,China,1965,30,air search radar,New
North Korea,China,1973,10,air search radar,New
Albania,China,1968,270,towed MRL,New
Iran,China,1981,300,towed MRL,New
Khmer Rouge (Cambodia)*,China,1971,200,towed MRL,New
DR Congo,China,1972,20,towed MRL,New
North Korea,China,1981,100,self-propelled MRL,New
Viet Nam,China,1965,400,towed MRL,New
Viet Nam,China,1968,30,air search radar,New
Viet Nam,China,1956,3,FAC,New
Viet Nam,China,1963,8,patrol craft,New
Viet Nam,China,1970,100,towed gun,New
North Korea,China,1967,15,FAC,New
Bangladesh,China,1983,20,towed gun,New
Bangladesh,China,1974,4,trainer aircraft,Second hand
Pakistan,China,1974,173,towed gun,New
Pakistan,China,1965,400,towed gun,New
Pakistan,China,1969,50,light tank,New
Pakistan,China,1970,50,light tank,New
Pakistan,China,1968,50,towed gun,Second hand
Pakistan,China,1975,2,patrol craft,New
Pakistan,China,1972,4,FAC,New
Bangladesh,China,1980,12,fighter aircraft,Second hand
Pakistan,China,1970,12,patrol craft,New
Pakistan,China,1983,1,SAM system,New
Pakistan,China,1983,40,SAM,New
Congo,China,1977,15,tank,New
Zimbabwe,China,1983,4,towed gun,New
DR Congo,China,1982,8,towed gun,New
DR Congo,China,1981,15,towed gun,New
Tanzania,China,1976,30,light tank,New
Tanzania,China,1973,20,APC,New
Tanzania,China,1973,30,towed gun,Second hand
Somalia,China,1982,10,towed gun,New
Mali,China,1980,18,light tank,New
Tanzania,China,1970,6,patrol craft,New
Sierra Leone,China,1973,3,patrol craft,New
Tanzania,China,1975,4,FAC,New
Sudan,China,1980,20,towed gun,New
Sudan,China,1981,50,APC,New
Sudan,China,1978,10,light tank,New
Iran,China,1985,150,SAM,New
Iran,China,1985,500,portable SAM,New
Iran,China,1985,100,towed gun,New
Iran,China,1985,100,towed gun,New
North Korea,China,1974,6,patrol craft,New
North Korea,China,1967,23,patrol craft,New
Sudan,China,1980,20,towed gun,New
Pakistan,China,1974,36,trainer aircraft,New
Pakistan,China,1965,4,trainer aircraft,Second hand
Pakistan,China,1965,4,bomber aircraft,New
Viet Nam,China,1969,30,fighter aircraft,New
North Korea,China,1957,50,trainer aircraft,New
Viet Nam,China,1970,100,light tank,New
North Korea,China,1956,100,light transport aircraft,New
Viet Nam,China,1963,5,fighter aircraft,New
Viet Nam,China,1963,10,fighter aircraft,Second hand
Viet Nam,China,1968,20,fighter aircraft,Second hand
Tanzania,China,1969,30,light tank,New
Tanzania,China,1970,30,tank,New
Sudan,China,1970,70,light tank,New
Sudan,China,1971,50,tank,New
North Korea,China,1957,80,fighter aircraft,Second hand
North Korea,China,1958,40,bomber aircraft,New
Iran,China,1981,300,towed gun,New
Iran,China,1981,300,tank,New
DR Congo,China,1976,2,FAC,New
DR Congo,China,1975,4,patrol craft,New
Pakistan,China,1983,30,anti-ship missile,New
Pakistan,China,1980,20,anti-ship missile,New
Pakistan,China,1983,4,FAC,New
Egypt,China,1982,2,frigate,New
Egypt,China,1982,20,anti-ship missile,New
Iraq,China,1982,40,fighter aircraft,New
Zimbabwe,China,1984,22,tank,New
Egypt,China,1982,2,submarine,New
Bangladesh,China,1982,20,anti-ship missile,New
Bangladesh,China,1982,4,FAC,New
Iraq,China,1981,650,APC,New
Iraq,China,1982,1500,tank,New
Bangladesh,China,1980,8,patrol craft,New
Bangladesh,China,1981,2,patrol craft,New
Iraq,China,1983,90,fighter aircraft,New
Iraq,China,1981,1000,tank,New
Iran,China,1981,16,fighter aircraft,New
Zimbabwe,China,1984,12,fighter aircraft,New
North Korea,China,1982,40,FGA aircraft,New
Pakistan,China,1980,4,FAC,New
Egypt,China,1980,2,submarine,New
Sri Lanka,China,1979,2,patrol craft,New
Somalia,China,1979,30,fighter aircraft,New
North Korea,China,1977,50,trainer aircraft,New
Egypt,China,1976,40,fighter aircraft,New
Pakistan,China,1978,20,fighter aircraft,New
Pakistan,China,1979,2,patrol craft,New
Albania,China,1962,12,fighter aircraft,New
DR Congo,China,1975,70,light tank,New
Guinea,China,1973,6,patrol craft,New
Bangladesh,China,1975,24,fighter aircraft,Second hand
Cameroon,China,1976,2,patrol craft,New
Seychelles,China,2011,2,light transport aircraft,New
Indonesia,China,2008,2,air search radar,New
Indonesia,China,2009,3,air search radar,New
Indonesia,China,2008,200,portable SAM,New
Thailand,China,2012,4,self-propelled MRL,New
Pakistan,China,2002,11,fighter aircraft,New
Pakistan,China,2001,6,trainer/combat aircraft,New
Pakistan,China,1971,103,fighter aircraft,New
Pakistan,China,1984,10,trainer aircraft,New
Pakistan,China,1979,25,fighter aircraft,New
Pakistan,China,1981,52,FGA aircraft,New
Cameroon,China,2013,4,combat helicopter,New
Equatorial Guinea,China,2017,26,APC,New
Equatorial Guinea,China,2017,6,self-propelled mortar,New
Cambodia,China,2018,20,APV,New
Laos,China,2012,2,transport aircraft,New
Ghana,China,2012,24,IFV,New
Myanmar,China,2009,20,anti-ship missile,New
Benin,China,2012,10,vehicle engine,New
Myanmar,China,2011,25,anti-ship missile,Second hand
Pakistan,China,2017,295,portable SAM,New
Morocco,China,2010,75,SRAAM,New
Algeria,China,2012,3,frigate,New
Namibia,China,2010,1,OPV,New
Venezuela,China,2008,100,SRAAM,New
Sudan,China,2009,450,anti-tank missile,New
Bangladesh,China,2011,3,ARV,New
Ecuador,China,1993,50,anti-tank missile,New
Namibia,China,2012,10,IFV,New
Indonesia,China,2009,8,air search radar,New
