Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 2 Nov 2024 10:23:14 PM

Recipient,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,1950-2023,Percentage,Sum total years,Percentage of total
Iran,4,6,0 ,1,11,30,41,36,160,109,84,107,127,139,141,171,407,249,848,1305,1234,1795,1392,2049,2870,5230,4654,5710,3742,533,278,487,498,467,558,639,805,806,466,193,447,991,403,956,450,288,607,171,373,320,424,534,441,289,123,59,424,332,63,98,96,93,41,14,14,14,413,3,3,3,2,,,21,46890,2.3%,46890,2.3%
Iraq,,,59,53,19,61,105,38,186,170,168,118,278,201,321,248,341,364,392,418,185,187,627,1846,1425,1113,1136,1059,1782,1362,2246,2574,3258,3373,4540,3903,3355,3461,1905,1505,818,,,,,,,,,,,,,,74,196,308,299,382,419,474,621,520,373,629,1489,1823,945,454,145,5,,55,6,54416,2.6%,54416,2.6%
Ireland,2,,,18,,,8,,1,,1,,,2,12,,,,,,,14,27,8,6,9,,5,28,27,44,12,3,,11,2,38,,24,,,11,,,41,,,,3,33,0 ,42,21,,25,5,13,27,32,,4,,,,40,43,43,2,5,36,10,,1,77,817,0.0%,817,0.0%
Israel,53,97,73,70,2,111,735,133,143,223,163,87,271,407,417,439,324,289,985,1387,1124,1340,889,2104,1161,1312,1934,1256,1321,688,1250,1654,866,487,286,309,1185,1080,582,24,81,1210,1335,716,761,366,108,59,1289,1191,354,116,350,189,846,1107,1125,840,680,157,71,86,136,160,549,688,622,535,461,486,349,458,849,857,46448,2.2%,46448,2.2%
Italy,149,232,897,1309,308,587,983,763,407,424,409,427,886,1217,1138,732,409,106,196,607,681,1099,1761,1014,1111,1011,711,517,689,601,475,129,241,303,273,205,198,183,179,196,153,202,184,201,195,327,280,519,56,25,278,241,245,580,452,143,384,467,159,94,102,286,191,71,127,237,734,709,275,178,201,211,237,485,32990,1.6%,32990,1.6%
Jamaica,,,,,,,,,,,,,1,1,0 ,,,3,,,,1,,13,7,4,1,3,4,,,0 ,,,,5,3,,,4,,,,,,,,,10,10,,,,,,10,10,13,2,,1,,,1,,2,22,,19,3,10,28,,10,201,0.0%,201,0.0%
Japan,,,8,223,280,412,770,1065,1205,675,809,338,221,205,1719,1154,324,605,553,526,645,771,671,630,893,1774,1656,960,1078,985,1057,1337,1450,1696,2052,1975,1894,1946,1998,2283,2682,2940,2519,2130,1025,1251,867,839,1484,1252,488,423,433,457,390,374,463,553,990,990,658,300,239,342,329,356,346,446,764,992,932,1112,1569,1103,70879,3.4%,70879,3.4%
Jordan,0 ,,7,0 ,27,34,62,,44,4,30,15,55,39,33,55,92,126,48,238,130,68,66,87,184,372,337,464,593,279,384,401,1061,786,478,292,250,143,247,59,16,24,,1,5,19,75,77,248,63,139,160,132,281,169,79,52,183,160,233,90,214,175,75,197,231,231,369,184,230,157,67,32,11,11971,0.6%,11971,0.6%
Katanga,,,,,,,,,,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.0%,10,0.0%
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,2,64,,72,121,139,22,,49,44,46,83,28,43,59,63,96,143,83,446,253,218,276,230,269,85,191,125,3350,0.2%,3350,0.2%
Kenya,,,,,,,,,,,,,,,6,15,19,2,2,3,0 ,26,9,2,28,25,17,58,211,56,119,144,89,19,12,6,26,178,,47,43,14,,,30,,,61,,,15,,,,,,,11,,34,96,35,68,1,17,30,32,17,6,18,71,4,1,,1720,0.1%,1720,0.1%
Khmer Rouge (Cambodia)*,,,,,,,,,,,,,,,,,,,,,,2,6,2,2,2,,,,,,,,,,,,,2,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0.0%,25,0.0%
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,13,0.0%,13,0.0%
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,3,10,1,14,31,0.0%,31,0.0%
Kurdistan Regional Government (Iraq)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,2,0.0%,2,0.0%
Kuwait,,,,0 ,5,1,,,2,,44,,10,34,46,25,8,,104,97,54,109,30,,5,77,230,490,487,198,35,13,173,287,490,619,167,50,7,134,326,515,896,694,36,635,1189,478,46,198,227,67,23,43,2,12,5,288,5,9,85,113,31,73,692,325,159,114,96,55,67,924,2250,434,15143,0.7%,15143,0.7%
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,3,2,,,,,,,,,4,8,12,1,15,,2,14,23,99,0.0%,99,0.0%
LF (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,12,53,20,,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,0.0%,95,0.0%
LRA (Uganda)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,,,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
LTTE (Sri Lanka)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,0 ,,,0 ,0 ,1,,3,,,0 ,,,,,,,,,,,,,,,,,,,5,0.0%,5,0.0%
Laos,,,,,1,2,1,1,10,2,3,4,19,15,7,7,14,14,4,6,32,17,14,44,1,37,21,134,26,,35,54,1,94,26,59,,29,18,,8,,,,,,,43,22,30,7,,,0 ,,4,,,7,26,,15,19,19,,7,,2,123,27,17,3,,2,1130,0.1%,1130,0.1%
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,8,12,16,0 ,0 ,0 ,4,3,14,4,25,13,5,9,51,46,11,16,27,9,5,5,3,28,30,21,31,10,15,34,33,486,0.0%,486,0.0%
Lebanon,0 ,,1,9,3,17,,40,74,11,,5,13,18,,34,72,80,1,,,10,52,54,41,11,3,8,2,19,37,9,36,93,192,71,,,,,,,40,40,18,42,27,9,8,4,4,,,,,1,,5,1,52,64,1,31,27,6,48,28,50,53,58,45,43,30,5,1755,0.1%,1755,0.1%
Lebanon Palestinian rebels*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,0.0%,28,0.0%
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,3,,,1,,0 ,10,,,8,,4,,,,,,,5,,,6,,,1,,1,,,,,,,,,,,1,1,1,,,,,48,0.0%,48,0.0%
Liberia,,,,,,,,,,1,,,,,2,,,18,,,,1,1,,,,2,,1,,,,,,,,5,7,,12,3,,,,,,,,,1,9,,,,,,,,,,,,,,,,,,,,0 ,,,,64,0.0%,64,0.0%
Libya,,,,,,,,3,,1,14,17,2,3,15,9,26,12,57,152,371,540,534,733,1767,1647,1858,3064,4222,3173,2950,3142,2748,1408,730,746,401,184,9,218,11,,,,,,,,,6,,,,,,1,16,16,16,22,37,8,73,116,,,,,,,,,,,31074,1.5%,31074,1.5%
Libya GNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,33,0 ,,,,36,0.0%,36,0.0%
Libya HoR*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,37,13,6,11,31,188,5,5,,312,0.0%,312,0.0%
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,10,,5,15,,15,9,6,16,14,1,47,11,53,4,27,27,8,1,1,73,10,14,34,7,8,37,116,104,75,99,916,0.0%,916,0.0%
Luxembourg,,,0 ,0 ,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,3,,,1,,,,1,,,,,,10,10,,1,,,,1,1,,3,88,,0 ,1,121,0.0%,121,0.0%
MNLF (Philippines)*,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
MPLA (Portugal)*,,,,,,,,,,,,,,,,,,,,,,,0 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0%,1,0.0%
MTA (Myanmar)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
Madagascar,,,,,,,,,,,,3,,1,0 ,7,,12,1,1,,0 ,0 ,,17,6,,,,64,43,1,,8,,6,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,194,0.0%,194,0.0%
Mali,,,,,,,,,,,,3,10,4,,,1,12,,2,,15,,,,11,89,,,,,91,4,15,13,0 ,,,2,,1,,,,0 ,,,9,4,,7,,1,3,,13,,8,3,10,,0 ,9,7,1,,22,32,25,18,44,38,62,81,671,0.0%,671,0.0%
Malawi,,,,,,,,,,,,,,,5,,,,,,,,0 ,,,,2,6,7,8,14,14,,,1,6,10,1,2,3,10,,,,4,,,,,,,,,,,,,,3,,,,1,2,2,2,0 ,,,,,,19,,123,0.0%,123,0.0%
Malaysia,,,,,,,,,13,18,5,2,31,75,97,10,58,128,91,79,25,195,109,229,74,85,394,146,72,310,127,56,25,275,543,405,141,5,14,37,,33,13,13,308,828,32,553,39,721,26,26,153,190,69,58,184,498,493,1284,212,4,18,79,75,118,271,196,93,69,57,133,71,7,10796,0.5%,10796,0.5%
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0 ,8,,,,,,,,15,,,,5,,,5,,,,,,2,3,2,,,40,0.0%,40,0.0%
Malta,,,,,,,,,,,,,,,,,,,,,,,0 ,0 ,,,,,8,,1,,,,,,,,,,,,13,,,0 ,1,6,0 ,,0 ,0 ,4,,4,18,,,,,,8,8,,12,10,6,8,,,,,,45,151,0.0%,151,0.0%
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.0%,8,0.0%
Mauritania,,,,,,,,,,,2,1,1,6,1,1,,,,,21,13,,1,5,5,15,29,17,24,,19,16,,0 ,3,,,,8,16,18,,,16,3,3,8,4,,31,,27,7,,,,,,,17,5,11,,8,1,35,,1,34,,6,,,436,0.0%,436,0.0%
Mauritius,,,,,,,,,,,,,,,,,,,0 ,,,0 ,,,2,,,,,3,,,,,,1,,,,,10,,,8,,,29,1,,,,,,,10,,,,,,,,,,28,,28,19,,,,1,4,,143,0.0%,143,0.0%
Mexico,,7,,6,,,,,16,2,21,30,109,60,38,11,22,15,,,82,48,15,158,61,104,69,39,74,68,75,115,343,116,,8,143,154,103,63,34,40,19,160,136,55,92,495,19,136,215,149,97,20,325,33,78,,23,59,109,225,257,52,85,318,316,209,16,,242,3,,,6191,0.3%,6191,0.3%
Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,7,7,37,0.0%,37,0.0%
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,34,0.0%,34,0.0%
Mongolia,,5,28,5,3,10,9,12,12,,10,66,90,86,120,137,116,63,15,22,15,13,8,58,76,195,31,30,47,29,60,72,156,118,114,98,27,36,27,,,,,,,,,,,,,,,,,,,,15,,64,3,78,,,73,,,,17,,33,3,,2302,0.1%,2302,0.1%
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0 ,,15,,5,1,2,,24,0.0%,24,0.0%
Morocco,,,,,,,28,12,10,13,22,37,93,14,16,82,159,149,90,41,80,1,,21,198,207,216,408,419,725,468,799,527,394,72,50,31,32,111,126,137,62,17,98,117,28,89,220,,60,127,11,155,12,14,101,47,27,46,39,309,1406,879,62,572,47,287,605,462,48,16,52,495,461,12754,0.6%,12754,0.6%
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,28,34,152,494,111,52,60,64,59,94,73,6,,,,,,,,,,,,,2,,,,1,,,,,,,,0 ,0 ,9,16,5,45,,3,22,1,18,5,3,1358,0.1%,1358,0.1%
Mujahedin (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,7,7,29,59,21,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,0.0%,138,0.0%
Myanmar,4,0 ,0 ,16,39,47,30,53,61,29,6,17,14,27,18,19,3,13,6,22,4,28,4,,,53,10,9,25,19,40,,38,,,,8,,,34,278,239,31,331,97,224,115,231,156,141,16,153,156,100,192,157,177,153,80,63,61,668,398,250,110,252,279,207,192,196,217,67,229,121,7033,0.3%,7033,0.3%
NATO**,,,,,,,,26,26,26,26,22,5,,,,,7,14,14,14,,,,,,,,,,,,1250,1250,1250,802,,,18,36,,,,,,,,,,18,,18,,,,,116,,,420,,,22,,,,12,25,21,70,465,240,240,,6450,0.3%,6450,0.3%
NLA (Macedonia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,,,,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
NTC (Libya)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,0.0%,1,0.0%
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,5,5,,,21,11,,16,,75,,25,15,3,1,57,9,2,,3,35,,,,,,,290,0.0%,290,0.0%
Nepal,,,,,,,,,,,,,,,,2,0 ,,,,8,8,3,5,2,15,6,,,,,1,,,3,3,,,,1,,,5,,,1,,,,,,12,10,10,36,7,,,1,,,3,,,5,15,8,1,7,36,,0 ,,,211,0.0%,211,0.0%
Netherlands,154,454,423,975,784,719,1171,703,467,146,302,317,378,719,907,745,197,756,276,555,699,698,662,21,40,96,266,587,699,774,621,757,1243,1333,1173,892,791,614,383,694,273,322,237,140,205,82,203,126,269,278,123,164,247,128,130,86,304,217,140,256,181,119,198,505,8,59,76,36,140,494,575,510,733,402,32154,1.6%,32154,1.6%
New Zealand,41,72,148,13,,38,148,90,58,,119,111,8,5,,10,406,4,56,,168,133,23,23,10,51,7,34,,,,31,62,100,41,8,29,5,61,26,23,42,54,36,16,7,7,309,15,305,,45,17,156,98,,6,81,3,56,78,28,30,26,81,88,,,6,3,146,36,178,405,4518,0.2%,4518,0.2%
Nicaragua,,,,3,15,27,1,4,6,,2,8,6,8,0 ,0 ,2,,,,,5,5,10,,,8,19,13,,,44,69,50,167,90,91,157,63,14,107,1,,,,,,,,,,,,,,,,14,,15,,,,,13,14,86,7,,13,,,,,1154,0.1%,1154,0.1%
Niger,,,,,,,,,,,1,1,,,1,1,,,,2,1,12,,,3,,,,2,57,8,,6,25,3,,3,,,,,14,,,,,,3,,,,,,6,,,,,8,1,,,,12,3,10,0 ,3,1,5,19,16,33,15,274,0.0%,274,0.0%
Nigeria,,,,,,,,,,5,,1,8,9,2,56,159,45,50,39,14,12,113,7,24,424,104,90,142,108,474,331,642,41,359,569,211,115,62,15,18,4,59,41,95,2,15,1,,,36,9,6,66,11,,16,62,33,65,223,63,28,30,232,206,60,41,49,18,85,263,54,58,6176,0.3%,6176,0.3%
North Korea,879,408,247,710,299,422,479,428,827,579,405,69,181,197,168,118,862,862,1307,624,649,1502,482,550,808,591,487,297,354,313,487,347,527,339,112,963,1075,813,818,561,340,251,183,146,79,184,118,54,54,54,63,73,54,35,8,5,5,5,5,4,1,,,,,,,,,,,,,,23862,1.2%,23862,1.2%
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0 ,,,11,81,17,118,,,,,0 ,,,,,,0 ,1,,,0 ,,,,,,2,4,263,0.0%,263,0.0%
North Yemen,0 ,,4,,,1,,40,8,,,23,,1,,,1,,,,,,,,9,9,0 ,13,14,740,705,154,45,9,104,108,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2070,0.1%,2070,0.1%
Northern Alliance (Afghanistan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,210,,,,,,,,,,,,,,,,,,,,,,,232,0.0%,232,0.0%
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0%,1,0.0%
Norway,113,127,426,421,19,168,290,150,152,119,153,93,60,227,260,368,759,685,289,524,145,86,68,63,55,49,35,27,24,47,254,435,457,441,337,122,141,198,308,600,435,321,253,180,93,77,151,158,152,150,229,99,90,9,6,14,557,596,603,571,150,607,147,51,16,143,142,353,520,394,436,523,700,203,18422,0.9%,18422,0.9%
OSCE**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,0.0%,1,0.0%
Oman,,,,,,,,,,1,1,,,1,1,1,2,7,5,36,26,62,11,71,67,181,150,250,81,43,12,72,180,358,120,88,49,40,19,117,60,,,55,145,278,285,157,22,,118,32,40,37,49,178,296,12,72,95,31,21,122,492,719,151,422,757,282,88,85,4,5,4,7165,0.3%,7165,0.3%
PAIGC (Portugal)*,,,,,,,,,,,,,,,,,,,,,,,0 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0%,1,0.0%
PIJ (Israel/Palestine)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
PKK (Turkiye)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,0 ,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,1,0.0%,1,0.0%
PLO (Israel)*,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,0 ,,0 ,4,12,14,,,,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0.0%,31,0.0%
PRC (Israel/Palestine)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,,0 ,0.0%,0 ,0.0%
Pakistan,194,169,145,95,145,195,158,529,353,323,42,69,88,181,85,214,592,151,415,557,422,553,664,162,225,223,276,270,655,696,860,491,544,784,863,751,280,617,412,974,635,511,352,992,862,368,507,692,699,867,175,412,566,645,471,431,324,694,1073,1194,2226,1142,1021,1107,860,771,831,873,890,737,685,1035,1466,2129,43666,2.1%,43666,2.1%
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,7,,,,15,0.0%,15,0.0%
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,9,,,,,,,,,,,2,,15,5,,,,,,1,,,1,,,,2,40,0.0%,40,0.0%
Panama,,,,,,,,,,,,,,,0 ,,,,0 ,3,15,18,2,16,,27,6,4,5,,3,4,13,8,0 ,7,,,23,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,0.0%,156,0.0%
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,32,,3,2,,,2,4,,2,,8,12,6,6,4,10,10,,1,,1,7,,,,,,,,,,,,,,,,,3,,,0 ,8,,,14,,9,144,0.0%,144,0.0%
Paraguay,5,,1,1,,0 ,,,,,9,,11,0 ,8,1,1,5,9,,0 ,1,12,0 ,1,20,3,,9,1,18,5,3,0 ,3,35,4,,13,,6,3,1,,,,2,,,,,6,,,4,1,,,,,3,8,7,0 ,,,,,,2,,5,,,230,0.0%,230,0.0%
Pathet Lao (Laos)*,,,,,,,,,,,11,11,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,0.0%,38,0.0%
Peru,2,24,85,17,111,35,175,117,30,175,191,96,14,24,18,52,65,26,188,96,35,157,198,476,561,555,373,933,748,641,697,858,271,320,361,215,254,614,241,10,104,108,130,43,175,47,121,373,51,94,18,10,16,22,47,368,193,172,,43,46,71,5,15,153,211,168,28,103,0 ,28,62,38,22,13140,0.6%,13140,0.6%
Philippines,,2,1,32,22,28,39,42,37,64,51,45,11,4,2,102,86,43,16,26,9,90,52,122,60,133,256,198,143,92,75,39,17,117,39,23,,26,12,19,33,34,43,62,72,28,41,70,64,,,10,5,10,34,12,23,16,10,1,3,63,21,83,12,153,228,278,17,185,350,337,314,225,5009,0.2%,5009,0.2%
Poland,200,585,794,1021,1961,1060,697,1089,1067,1013,872,843,682,1001,1554,1144,980,745,866,940,804,929,854,1044,1064,963,785,924,1112,1127,1090,807,725,529,462,922,1386,1034,901,500,227,76,100,4,74,250,102,1,3,25,148,33,256,347,223,103,439,966,646,195,171,138,223,142,258,140,47,128,64,265,144,74,391,1374,44852,2.2%,44852,2.2%
Portugal,19,21,120,284,373,165,90,153,99,48,31,157,28,41,45,63,241,283,373,338,370,266,16,16,117,326,64,94,130,5,36,57,184,12,109,154,5,9,90,149,70,1012,19,350,453,20,9,2,16,3,3,19,,29,70,158,220,60,145,372,891,170,42,11,3,1,21,8,19,44,45,6,,66,9533,0.5%,9533,0.5%
Provisional IRA (UK)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0%,1,0.0%
Qatar,,,,,,,,,,,,,,,,,,,2,3,6,16,,,,38,26,55,16,14,57,48,127,460,320,2,2,57,91,10,5,17,63,10,9,10,200,237,302,61,3,,,,,,,27,,286,30,190,335,82,55,488,596,321,691,2438,963,2077,3384,1805,16034,0.8%,16034,0.8%
RPF (Rwanda)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
RUF (Sierra Leone)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 ,,,,,,,,,,,,,,,,,,,,,,,,,0 ,0.0%,0 ,0.0%
Regional Security System**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,14,0.0%,14,0.0%
Romania,7,79,407,809,605,454,450,189,109,100,116,30,179,230,421,520,401,442,591,399,561,471,497,538,673,636,294,348,296,642,516,470,445,284,243,330,455,214,199,294,596,63,185,14,29,2,39,61,170,142,21,24,21,17,285,436,60,97,76,56,107,80,21,20,0 ,22,177,88,35,13,189,190,184,328,18788,0.9%,18788,0.9%
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,90,,8,25,10,121,184,207,113,127,94,62,5,1,6,129,134,1355,0.1%,1355,0.1%
Rwanda,,,,,,,,,,,,,11,,0 ,0 ,,,,,,0 ,0 ,2,1,3,,1,,,,,,4,6,3,2,,2,2,3,5,5,,,,1,3,9,21,15,,,,,,3,20,8,11,,,5,15,15,29,,8,3,1,,58,16,,286,0.0%,286,0.0%
SLA (Lebanon)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,10,17,1,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,0.0%,45,0.0%
SNA (Somalia)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0%,2,0.0%
SPLA (Sudan)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0%,2,0.0%
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.0%,6,0.0%
Saint Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.0%,4,0.0%
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,13,0.0%,13,0.0%
Saudi Arabia,0 ,,7,1,2,16,10,72,37,8,17,12,22,,5,48,227,221,448,416,87,10,120,192,378,549,696,1021,1020,765,1090,1810,2214,1818,834,1321,2839,2007,782,1382,2039,1038,1153,2358,981,983,1724,2790,2886,1580,105,60,560,160,1159,166,205,227,387,827,1108,1172,930,1511,2711,3384,2974,3968,3170,3065,2399,1803,3132,1315,76537,3.7%,76537,3.7%
Senegal,,,,,,,,,,,0 ,8,,0 ,4,0 ,2,,1,38,,12,,1,17,,15,41,20,29,,,7,38,4,,14,18,,,,,,,1,6,,,,,,,,,,16,15,12,6,6,4,16,,,9,24,40,48,15,40,22,21,28,170,766,0.0%,766,0.0%
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,2,8,1,14,7,1,1,27,,,,,,,,,16,,0 ,,,,23,65,4,84,145,136,172,93,802,0.0%,802,0.0%
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,19,6,,3,15,,,10,,1,,0 ,,,,,,,,,,,,,,,15,,,,,,8,,10,16,,8,,10,,,19,,,138,0.0%,138,0.0%
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,28,,,1,,2,,42,,,1,3,,,18,,,,,1,,7,14,,16,,13,,,,,,,9,,,,,2,0 ,1,,1,2,,,,,,,,161,0.0%,161,0.0%
